tema_id,subtema,nombre_completo,participacion_pct,intensidad_media,impacto_en_polaridad,direccion,confianza,contribucion_pct,coef_ridge,coef_logit,correlacion,ranking_contribucion,mensaje
1,violencia_personas,Seguridad y Criminalidad - Violencia_personas,15.79,-0.075,Alta,Polaridad negativa,Alta,15.96,0.460014,0.039564,0.544598,1,Seguridad y Criminalidad - Violencia_personas: Polaridad negativa | impacto Alta | confianza Alta | contribución 15.96%.
1,violencia_crimen_organizado,Seguridad y Criminalidad - Violencia_crimen_organizado,11.43,-0.0955,Alta,Polaridad negativa,Alta,14.46,0.416812,0.017457,0.461263,2,Seguridad y Criminalidad - Violencia_crimen_organizado: Polaridad negativa | impacto Alta | confianza Alta | contribución 14.46%.
0,basura,Servicios e Infraestructura Pública - Basura,5.63,-0.0564,Alta,Polaridad negativa,Alta,8.77,0.252904,0.025371,0.380074,3,Servicios e Infraestructura Pública - Basura: Polaridad negativa | impacto Alta | confianza Alta | contribución 8.77%.
1,delitos_patrimoniales,Seguridad y Criminalidad - Delitos_patrimoniales,4.45,-0.0218,Alta,Polaridad negativa,Media,8.63,0.248691,0.015401,0.195659,4,Seguridad y Criminalidad - Delitos_patrimoniales: Polaridad negativa | impacto Alta | confianza Media | contribución 8.63%.
3,obras,Obra Pública e Inversión - Obras,5.44,-0.0566,Alta,Polaridad negativa,Alta,8.48,0.244325,0.027718,0.26617,5,Obra Pública e Inversión - Obras: Polaridad negativa | impacto Alta | confianza Alta | contribución 8.48%.
6,gobierno,Gobernanza y Administración Pública - Gobierno,20.24,-0.0288,Alta,Polaridad negativa,Alta,8.2,0.236423,0.039059,0.44809,6,Gobernanza y Administración Pública - Gobierno: Polaridad negativa | impacto Alta | confianza Alta | contribución 8.20%.
1,prevencion_vigilancia,Seguridad y Criminalidad - Prevencion_vigilancia,6.44,0.0275,Alta,Polaridad positiva,Alta,7.39,0.213135,0.064094,0.311582,7,Seguridad y Criminalidad - Prevencion_vigilancia: Polaridad positiva | impacto Alta | confianza Alta | contribución 7.39%.
4,educacion,Educación y Cultura - Educacion,4.26,0.0124,Alta,Polaridad positiva,Alta,6.37,0.183635,0.051661,0.303606,8,Educación y Cultura - Educacion: Polaridad positiva | impacto Alta | confianza Alta | contribución 6.37%.
0,alumbrado,Servicios e Infraestructura Pública - Alumbrado,3.54,0.0651,Alta,Polaridad positiva,Media,6.23,0.17963,0.08015,0.198104,9,Servicios e Infraestructura Pública - Alumbrado: Polaridad positiva | impacto Alta | confianza Media | contribución 6.23%.
4,cultura,Educación y Cultura - Cultura,2.54,-0.0326,Alta,Polaridad negativa,Alta,3.95,0.113975,0.014999,0.271866,10,Educación y Cultura - Cultura: Polaridad negativa | impacto Alta | confianza Alta | contribución 3.95%.
0,agua,Servicios e Infraestructura Pública - Agua,1.91,0.0007,Alta,Polaridad positiva,Media,3.28,0.09467,0.021391,0.167165,11,Servicios e Infraestructura Pública - Agua: Polaridad positiva | impacto Alta | confianza Media | contribución 3.28%.
2,drenaje,Medio Ambiente y Servicios de Agua - Drenaje,0.54,-0.1138,Alta,Polaridad negativa,Baja,3.05,0.087843,0.001676,0.139009,12,Medio Ambiente y Servicios de Agua - Drenaje: Polaridad negativa | impacto Alta | confianza Baja | contribución 3.05%.
2,pavimento,Medio Ambiente y Servicios de Agua - Pavimento,0.73,-0.0452,Alta,Polaridad negativa,Media,2.66,0.076778,0.011198,0.108997,13,Medio Ambiente y Servicios de Agua - Pavimento: Polaridad negativa | impacto Alta | confianza Media | contribución 2.66%.
2,vialidad,Medio Ambiente y Servicios de Agua - Vialidad,3.99,-0.0583,Alta,Polaridad negativa,Baja,2.56,0.073743,0.008579,0.088858,14,Medio Ambiente y Servicios de Agua - Vialidad: Polaridad negativa | impacto Alta | confianza Baja | contribución 2.56%.
